id,user,uid,version,changeset,timestamp
8947502,Bike Mapper,74705,3,16670444,2013-06-23T14:44:23Z
8947511,balrog-kun,20587,3,4245390,2010-03-27T12:17:31Z
8947515,42429,42429,9,8084921,2011-05-08T17:10:18Z
8947518,n76,318696,13,26621659,2014-11-07T18:41:23Z
8947524,n76,318696,25,16606880,2013-06-18T17:57:00Z
8947538,mk408,201724,2,3960118,2010-02-24T05:24:54Z
8947549,stevea,123633,9,4291154,2010-04-01T05:09:08Z
8947551,andrewpmk,1679,8,3960500,2010-02-24T07:39:34Z
8947552,adbrown,54598,2,30222,2008-08-02T19:45:24Z
8947560,balrog-kun,20587,3,4245390,2010-03-27T12:17:34Z
8947566,balrog-kun,20587,3,4245390,2010-03-27T12:17:35Z
8947568,Bike Mapper,74705,5,27325851,2014-12-08T03:50:41Z
8947576,balrog-kun,20587,5,4245390,2010-03-27T12:17:37Z
8947578,andygol,94578,9,39210398,2016-05-10T09:07:59Z
8947581,balrog-kun,20587,3,4245390,2010-03-27T12:17:38Z
8947582,balrog-kun,20587,4,4245390,2010-03-27T12:17:38Z
8947592,Bike Mapper,74705,9,27326197,2014-12-08T04:26:15Z
8947596,mk408,201724,5,6984194,2011-01-16T04:34:45Z
8947602,mk408,201724,3,3941070,2010-02-22T06:36:51Z
8947612,balrog-kun,20587,2,4245390,2010-03-27T12:17:42Z
8947638,Apo42,25510,8,10069783,2011-12-08T23:48:34Z
8947675,balrog-kun,20587,4,4245390,2010-03-27T12:17:49Z
8947681,mk408,201724,4,6995250,2011-01-16T23:41:03Z
8947686,balrog-kun,20587,3,4245390,2010-03-27T12:17:51Z
8947701,Bike Mapper,74705,10,22411363,2014-05-18T18:06:58Z
8947702,n76,318696,6,20838509,2014-03-01T03:04:51Z
8947710,doug_sfba,1796809,10,44315651,2016-12-11T04:33:20Z
8947748,pbfoot06,2281061,4,27053860,2014-11-26T20:16:03Z
8947754,mk408,201724,3,3941410,2010-02-22T08:10:26Z
8947768,Bike Mapper,74705,10,14971969,2013-02-09T20:16:23Z
8947776,balrog-kun,20587,3,4245390,2010-03-27T12:18:00Z
8947789,doug_sfba,1796809,11,44385955,2016-12-13T22:53:58Z
8947816,mackerski,6367,10,21365823,2014-03-28T13:57:21Z
8947820,mk408,201724,2,6924299,2011-01-10T09:32:41Z
8947839,RichRico,2219338,23,44903567,2017-01-04T17:18:23Z
8947842,ChrisZontine,1376118,10,18393530,2013-10-16T20:51:57Z
8947845,doug_sfba,1796809,4,44477113,2016-12-17T19:27:14Z
8947862,mk408,201724,3,4127287,2010-03-14T17:35:46Z
8947887,mk408,201724,5,7055316,2011-01-22T21:03:50Z
8947897,balrog-kun,20587,3,4245390,2010-03-27T12:18:23Z
8947898,balrog-kun,20587,3,4245390,2010-03-27T12:18:23Z
8947914,balrog-kun,20587,7,4245390,2010-03-27T12:18:24Z
8947919,balrog-kun,20587,3,4245390,2010-03-27T12:18:25Z
8947932,Bike Mapper,74705,4,34131759,2015-09-20T00:14:21Z
8947934,Bike Mapper,74705,4,16565259,2013-06-15T16:27:00Z
8947943,Minh Nguyen,33757,25,32619093,2015-07-14T05:29:25Z
